Type,Temperature(K),RGB
O0Ia0,50000,144.166.255
O0Ia,50000,144.166.255
O0Ib,50000,144.166.255
O0II,50000,144.166.255
O0III,50000,144.166.255
O0IV,50000,144.166.255
O0V,50000,144.166.255
O0VI,50000,144.166.255
O1Ia0,47600,146.168.255
O1Ia,47600,146.168.255
O1Ib,47600,146.168.255
O1II,47800,146.168.255
O1III,47800,146.168.255
O1IV,47800,145.167.255
O1V,47800,146.168.255
O1VI,47800,146.168.255
O2Ia0,45200,148.170.255
O2Ia,45200,148.170.255
O2Ib,45200,148.170.255
O2II,45600,148.170.255
O2III,45600,148.169.255
O2IV,45600,146.169.255
O2V,45600,148.170.255
O2VI,45600,148.170.255
O3Ia0,42800,151.172.255
O3Ia,42800,151.172.255
O3Ib,42800,151.172.255
O3II,43400,149.173.255
O3III,43400,150.171.255
O3IV,43400,148.170.255
O3V,43400,151.172.255
O3VI,43400,151.172.255
O4Ia0,40400,153.174.255
O4Ia,40400,153.174.255
O4Ib,40400,153.174.255
O4II,41200,151.175.255
O4III,41200,152.172.255
O4IV,41200,149.171.255
O4V,41200,153.174.255
O4VI,41200,153.174.255
O5Ia0,38000,155.176.255
O5Ia,38000,155.176.255
O5Ib,38000,155.176.255
O5II,39000,153.177.255
O5III,39000,154.174.255
O5IV,39000,150.172.255
O5V,39000,155.176.255
O5VI,39000,155.176.255
O6Ia0,35400,157.178.255
O6Ia,35400,157.178.255
O6Ib,35400,157.178.255
O6II,36800,155.179.255
O6III,36800,156.175.255
O6IV,36800,151.174.255
O6V,36800,162.184.255
O6VI,36800,162.184.255
O7Ia0,32800,160.181.255
O7Ia,32800,160.181.255
O7Ib,32800,160.181.255
O7II,34600,156.181.255
O7III,34600,158.177.255
O7IV,34600,152.175.255
O7V,34600,157.177.255
O7VI,34600,157.177.255
O8Ia0,30200,162.183.255
O8Ia,30200,162.183.255
O8Ib,30200,162.183.255
O8II,32400,158.183.255
O8III,32400,157.178.255
O8IV,32400,153.176.255
O8V,32400,157.177.255
O8VI,32400,157.177.255
O9Ia0,27600,164.185.255
O9Ia,27600,164.185.255
O9Ib,27600,164.185.255
O9II,30200,160.186.255
O9III,30200,158.177.255
O9IV,30200,155.177.255
O9V,30200,154.178.255
O9VI,30200,154.178.255
B0Ia0,25000,161.189.255
B0Ia,25000,161.189.255
